product,rating,price,product url
"Lenovo IdeaPad Slim 3 11th Gen Intel i3 15.6"" FHD Thin & Light Laptop (8GB/512GB SDD/Windows 11/MS Office 2021/2Yr Warranty/Arctic Grey/1.65Kg), 82H802FJIN  ",4.3 out of 5 stars,"39,490",https://amazon.in/Lenovo-IdeaPad-Windows-Warranty-82H802FJIN/dp/B09Q5QLHSQ/ref=sr_1_15?keywords=laptop&qid=1654755253&sr=8-15
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i5 15.6"" FHD IPS Thin & Light Laptop(8GB/512GB SSD/2Yr Warranty/Windows 11/Office 2021/250Nits/3months Xbox Game Pass/Platinum Grey/1.7Kg),81WB014SIN  ",4.3 out of 5 stars,"45,990",https://amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WB014SIN/dp/B09XGZK53H/ref=sr_1_16?keywords=laptop&qid=1654755253&sr=8-16
"ASUS VivoBook Pro 14 OLED 2021, 14 inches 2.8K OLED 90Hz, Intel Core i5-11300H 11th Gen, Laptop (16GB/512GB SSD/Office 2021/Windows 11 Home /Iris Xe Graphics/1.4 kg) K3400PA-KM502WS  ",4.2 out of 5 stars,"64,990",https://amazon.in/ASUS-VivoBook-i5-11300H-Graphics-K3400PA-KM502WS/dp/B09RQKDCG3/ref=sr_1_97?keywords=laptop&qid=1654755266&sr=8-97
"Infinix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop (14 inch, Aurora Green, 1.48 kg)  ",4.4 out of 5 stars,"34,999",https://amazon.in/Infinix-INBook-Core-10th-Gen/dp/B09W87DQ6X/ref=sr_1_98?keywords=laptop&qid=1654755266&sr=8-98
"Dell New G15 5511 Gaming Laptop, Intel i5-11260H, 16GB, 512GB SSD, NVIDIA RTX 3050 (4GB GDDR6), 15.6"" (39.62Cms) FHD WVA AG 250 nits 120Hz, Backlit KB Orange, Dark Shadow Grey, 2.65Kgs (D560824WIN9B)  ",5.0 out of 5 stars,"74,490",https://amazon.in/Dell-i5-11260H-39-62Cms-Backlit-D560824WIN9B/dp/B09XX2D931/ref=sr_1_99?keywords=laptop&qid=1654755266&sr=8-99
"ASUS VivoBook 15 (2021) Intel Core i3-10110U 10th Gen, 15.6""(39.62cms) FHD Thin and Light Laptop (8GB RAM/1TB HDD/Windows 10/Office 2019/Slate Grey/1.8 Kg), X515FA-EJ311TS  ",3.3 out of 5 stars,"33,490",https://amazon.in/ASUS-VivoBook-i3-10110U-39-62cms-X515FA-EJ311TS/dp/B09N9P9TWG/ref=sr_1_100?keywords=laptop&qid=1654755266&sr=8-100
"ASUS Vivobook 14, 14-inch (35.56 cms) FHD, Intel Core i3-1115G4 11th Gen, Thin and Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Silver/1.6 Kg), X415EA-EB322WS, Transparent Silver  ",,"37,990",https://amazon.in/ASUS-Vivobook-i3-1115G4-X415EA-EB322WS-Transparent/dp/B09R5PKLH8/ref=sr_1_101?keywords=laptop&qid=1654755266&sr=8-101
"Dell New Vostro 3510 Laptop, Intel i3-1005G1, Win11 + Office'21, 8GB GDDR4, 512GB SSD, 15.6"" (39.62Cms) FHD WVA AG, Carbon (ICC-D585033WIN8) 1.8Kgs  ",3.7 out of 5 stars,"40,990",https://amazon.in/Dell-i3-1005G1-Office21-39-62Cms-ICC-D585033WIN8/dp/B09TNXCZ3T/ref=sr_1_102?keywords=laptop&qid=1654755266&sr=8-102
"HP Pavilion AMD Ryzen 5 5600H 15.6 inches FHD Gaming Laptop (8GB/512GB SSD/Windows 11 Home/NVIDIA RTX 3050 Graphics/MS Office/ Shadow Black & Ultra Violet/1.98 Kg), 15-ec2145AX  ",4.5 out of 5 stars,"69,990",https://amazon.in/HP-Pavilion-Windows-Graphics-15-ec2145AX/dp/B09MF6MD5L/ref=sr_1_103?keywords=laptop&qid=1654755266&sr=8-103
"Lenovo IdeaPad 5 Pro 11th Gen Intel Core i7 14 inches QHD IPS Thin and Light Laptop (16GB/512GB SSD/Iris Xe Graphics/Windows 11/Office 2021/Backlit/300Nits/Storm Grey/1.41Kg), 82L3006YIN  ",3.9 out of 5 stars,"75,705",https://amazon.in/Lenovo-IdeaPad-Graphics-Windows-82L3006YIN/dp/B09NBMR8HZ/ref=sr_1_104?keywords=laptop&qid=1654755266&sr=8-104
"Lenovo IdeaPad Slim 3 11th Gen Intel Core i5 15.6"" FHD Thin & Light Laptop(8GB/512GB SSD/Windows 11/Office 2021/FPR/2Yr Warranty/3months Xbox Game Pass/Platinum Grey/1.7Kg),81X800J1IN  ",,"52,990",https://amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81X800J1IN/dp/B09Y5V7BFH/ref=sr_1_105?keywords=laptop&qid=1654755266&sr=8-105
"Lenovo V15 Intel Celeron N4020 15.6"" FHD (1080p)(39.62 cm) HD Thin and Light Laptop (4GB RAM/1 TB HDD / DOS /Iron Grey/1 Year Onsite Warranty/1.7 kg), 82C30052IH  ",3.5 out of 5 stars,"27,850",https://amazon.in/Lenovo-Celeron-Laptop-Warranty-82C30052IH/dp/B09HHL3BNR/ref=sr_1_106?keywords=laptop&qid=1654755266&sr=8-106
"ASUS TUF Gaming F15 (2022), 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i7-12700H 12th Gen, RTX 3050 Ti 4GB Graphics, Gaming Laptop (16GB/512GB SSD/Windows 11/Gray/2.2 Kg), FX507ZE-HN038W  ",4.2 out of 5 stars,"1,16,990",https://amazon.in/ASUS-15-6-inch-i7-12700H-RTX-3050-FX507ZE-HN038W/dp/B09TTFTFQH/ref=sr_1_107?keywords=laptop&qid=1654755266&sr=8-107
"HP Chromebook 11a, MediaTek MT8183 Processor 11.6 inch(29.5 cm) Thin and Light Touchscreen Laptop (4 GB RAM/64 GB eMMC/ Chrome OS 64 /Fast Charge/Google Assistant/Indigo Blue/1.07Kg), na0002MU, 1.07Kg  ",3.7 out of 5 stars,"19,990",https://amazon.in/HP-Chromebook-11-6-inch-Touchscreen-11a-na0002MU/dp/B08WPNPTDD/ref=sr_1_108?keywords=laptop&qid=1654755266&sr=8-108
